corrected_name,Category
датчик давления ADBLUE,датчик
Датчик температуры воздуха,датчик
Датчик массового расхода воздуха ДВС,датчик
"ДАТЧИК, ОБОРОТОВ КОЛЕНВАЛА",датчик
Датчик уровня охлаждающей жидкости,датчик
Датчик АБС HYUNDAIKIA  SANTA FE пер прав,датчик
"Правый датчик боковой подушки безопасности, №2 (в сборе)",датчик
Датчик давления топлива,датчик
"ДАТЧИК, КИСЛОРОДНЫЙ, СО ЖГУТОМ ПРОВОДОВ, ПЕРЕДНЯЯ ВЫХЛОПНАЯ ТРУБА",датчик
"Ультразвуковой датчик, передний центральный",датчик
"Датчик скорости, задний правый",датчик
Датчик окружения,датчик
Датчик давления воздуха,датчик
ДАТЧИК ТЕМПЕРАТУРЫ ПОДОГРЕВАТ,датчик
"Датчик, давление наддува; Датчик, давление во впускном газопроводе",датчик
"ДАТЧИК, СИСТЕМА КОНТРОЛЯ ПАРКОВКИ, ТРЕБУЕТСЯ ПОКРАСКА",датчик
"Датчик, давления подачи топлива",датчик
ДАТЧИК/F HLER Fahrstuх,датчик
Датчик положения коленвала для автомобилей Chevrolet/Opel Captiva (06-)/Antara (06-) 3.0i/3.2i,датчик
Датчик разрежения,датчик
Датчик температуры черный,датчик
датчик положения к/вала,датчик
Датчик разблокированного рулевого управления (в сборе),датчик
Ультразвуковой датчик Moonlight серебр.,датчик
ДАТЧИК ДАВЛЕНИЯ ГИДРОЖИДКОСТИ СИСТЕМЫ РУЛЕВОГО УПРАВЛЕНИЯ,датчик
датчик давления масла и температуры 0-7 bar OE,датчик
ДАТЧИК DS ANT,датчик
Датчик угла поворота рулевого колеса (в сборе),датчик
"Датчик, температуры топлива",датчик
Датчик ERA  Honda AccordSaab 9-3,датчик
"ДАТЧИК КИСЛОРОДНЫЙ (ЛЯМБДА ЗОНД) CHEVROLET, DAEWOO, HYUNDAI, JEEP WRANGLER, OPEL ASTRA F, ASTRA G, C",датчик
датчик темп. охлажда жидкост,датчик
Датчик двери (концевик),датчик
"ДАТЧИК, СВЕТ ОКРУЖЕНИЯ, АВТОМАТ УПР ФАРАМИ",датчик
ДАТЧИК ЧАСТОТЫ ВРАЩЕНИЯ,датчик
ДатЧик Температуры/ДатЧик Температуры ДвигателЯ (Ect),датчик
"Датчик АБС, передний",датчик
"Датчик, ABS",датчик
Датчик||Flex Fuel,датчик
Датчик главного тока (в сборе),датчик
Датчик числа оборотов кпп,датчик
ДАТЧИК РЕГУЛИРОВКИ ДОРОЖНОГО ПРОСВЕТА FR LH В СБОРЕ,датчик
"Датчик, внешняя температура",датчик
"Датчик АБС MEAT&DORIA  ABS sensor, front, both sides",датчик
Датчик Холла с крепежом,датчик
Датчик включения стоп сигналов,датчик
Датчик abs mb ml w164 прав l+r,датчик
"Датчик, температура охлаждающей жидкости; Датчик, температура охлаждающей жидкости; Датчик, температура охлаждающей жидкости",датчик
ДатЧик Темп. Охл. Жидк. двигател.,датчик
ТЕРМОДАТЧИК ПЕЧКИ / AMPLIFIER THERMO,датчик
ДАТЧИК НАЛИЧИЯ ДЕТСКОГО СИД,датчик
Датчик температуры VERNET ,датчик
"Крышка датчика, серый palladiumgrau",датчик
Датчик абсолютного давления;fordfocusii,датчик
ДАТЧИК ТЕМПЕРАТУРЫ выпуска,датчик
Датчик включения вентилятора (118°C) VAG,датчик
ДАТЧИК LATERALE,датчик
Датчик давления воздуха ,датчик
Датчик давления BOSCH  *,датчик
ДАТЧИК ТЕМПЕРАТУРЫ ИСПАРИТЕЛЯ (BA532-412,датчик
Задний правый датчик АБС (в сборе),датчик
Датчик расхода воздуха hyundai sonata,датчик
Датчик соотношения воздуха и топлива (в сборе),датчик
"ДАТЧИК, ТЕМПЕРАТУРА ВОЗДУШНОГО КАНАЛА, ИСПАРИТЕЛЬ",датчик
"Датчик в сборе, регулировки дорожного просвета",датчик
Датчик расхода воздуха ERA  LADA SAMARA FORMA 1991,датчик
Датчик температурный корпуса термостата,датчик
